============================================================
         RAPORT KARNETOW - KOLEJ LINOWA
============================================================

PRZEJSCIA PRZEZ BRAMKI (ID KARNETU - GODZINA):
------------------------------------------------------------
Karnet #1 - Bramka #4 - 11:41:41
Karnet #2 - Bramka #2 - 11:41:41
Karnet #4 - Bramka #3 - 11:41:41
Karnet #3 - Bramka #4 - 11:41:41
Karnet #5 - Bramka #4 - 11:41:42
Karnet #6 - Bramka #3 - 11:41:42
Karnet #7 - Bramka #4 - 11:41:42
Karnet #8 - Bramka #3 - 11:41:43
Karnet #9 - Bramka #2 - 11:41:45
Karnet #10 - Bramka #4 - 11:41:45
Karnet #11 - Bramka #3 - 11:41:45
Karnet #12 - Bramka #2 - 11:41:45
Karnet #13 - Bramka #1 - 11:41:45
Karnet #14 - Bramka #4 - 11:41:45
Karnet #15 - Bramka #3 - 11:41:46
Karnet #17 - Bramka #2 - 11:41:46
Karnet #18 - Bramka #3 - 11:41:46
Karnet #16 - Bramka #2 - 11:41:46
Karnet #19 - Bramka #1 - 11:41:46
Karnet #21 - Bramka #3 - 11:41:46
Karnet #24 - Bramka #2 - 11:41:48
Karnet #23 - Bramka #1 - 11:41:48
Karnet #26 - Bramka #4 - 11:41:48
Karnet #27 - Bramka #4 - 11:41:48
Karnet #22 - Bramka #2 - 11:41:48
Karnet #20 - Bramka #1 - 11:41:48
Karnet #25 - Bramka #3 - 11:41:48
Karnet #28 - Bramka #4 - 11:41:49
Karnet #29 - Bramka #4 - 11:41:49
Karnet #30 - Bramka #1 - 11:41:50
Karnet #32 - Bramka #3 - 11:41:50
Karnet #31 - Bramka #1 - 11:41:51
Karnet #33 - Bramka #4 - 11:41:51
Karnet #34 - Bramka #3 - 11:41:52
Karnet #36 - Bramka #1 - 11:41:54
Karnet #35 - Bramka #1 - 11:41:55
Karnet #37 - Bramka #4 - 11:41:57
Karnet #39 - Bramka #2 - 11:41:59
Karnet #38 - Bramka #1 - 11:41:59
Karnet #40 - Bramka #2 - 11:42:00
Karnet #41 - Bramka #4 - 11:42:01
Karnet #42 - Bramka #4 - 11:42:02
Karnet #43 - Bramka #1 - 11:42:02
Karnet #44 - Bramka #3 - 11:42:02
Karnet #45 - Bramka #4 - 11:42:02
Karnet #4 - Bramka #3 - 11:42:02
Karnet #47 - Bramka #2 - 11:42:02
Karnet #48 - Bramka #4 - 11:42:03
Karnet #46 - Bramka #4 - 11:42:03
Karnet #51 - Bramka #3 - 11:42:03
Karnet #50 - Bramka #1 - 11:42:03
Karnet #52 - Bramka #4 - 11:42:06
Karnet #49 - Bramka #3 - 11:42:06
Karnet #54 - Bramka #4 - 11:42:07
Karnet #57 - Bramka #3 - 11:42:08
Karnet #53 - Bramka #4 - 11:42:08
Karnet #56 - Bramka #3 - 11:42:09
Karnet #55 - Bramka #1 - 11:42:09
Karnet #58 - Bramka #1 - 11:42:09
Karnet #59 - Bramka #2 - 11:42:10
Karnet #60 - Bramka #4 - 11:42:11
Karnet #61 - Bramka #1 - 11:42:11
Karnet #62 - Bramka #2 - 11:42:12
Karnet #63 - Bramka #1 - 11:42:12
Karnet #65 - Bramka #4 - 11:42:14
Karnet #64 - Bramka #2 - 11:42:14
Karnet #66 - Bramka #4 - 11:42:14
Karnet #67 - Bramka #1 - 11:42:17
Karnet #68 - Bramka #4 - 11:42:18
Karnet #69 - Bramka #2 - 11:42:18
Karnet #70 - Bramka #4 - 11:42:20
Karnet #72 - Bramka #3 - 11:42:20
Karnet #71 - Bramka #1 - 11:42:20
Karnet #7 - Bramka #4 - 11:42:20
Karnet #73 - Bramka #3 - 11:42:26
Karnet #74 - Bramka #3 - 11:42:26
Karnet #76 - Bramka #3 - 11:42:30
Karnet #77 - Bramka #3 - 11:42:30
Karnet #75 - Bramka #3 - 11:42:30
Karnet #78 - Bramka #2 - 11:42:33
Karnet #79 - Bramka #1 - 11:42:34
Karnet #80 - Bramka #2 - 11:42:39
Karnet #81 - Bramka #2 - 11:42:40
Karnet #82 - Bramka #1 - 11:42:40
Karnet #83 - Bramka #4 - 11:42:40
Karnet #84 - Bramka #4 - 11:42:41
Karnet #85 - Bramka #4 - 11:42:41
Karnet #86 - Bramka #3 - 11:42:41
Karnet #87 - Bramka #2 - 11:42:42
Karnet #90 - Bramka #2 - 11:42:42
Karnet #89 - Bramka #3 - 11:42:42
